drug,protein,proteinname
2519,51272,BET1L
5350,8553,BHLHE40
445154,8553,BHLHE40
65064,23299,BICD2
2519,23299,BICD2
445154,23299,BICD2
5350,637,BID
445154,637,BID
2519,637,BID
1548943,637,BID
445154,638,BIK
5350,51411,BIN2
65064,55909,BIN3
445154,55909,BIN3
445154,329,BIRC2
2519,329,BIRC2
1548943,329,BIRC2
5350,330,BIRC3
65064,330,BIRC3
445154,330,BIRC3
2519,57448,BIRC6
445154,79444,BIRC7
445154,10904,BLCAP
65064,414899,BLID
445154,29760,BLNK
445154,282991,BLOC1S2
65064,644,BLVRA
2519,8548,BLZF1
445154,27302,BMP10
5350,650,BMP2
445154,650,BMP2
445154,652,BMP4
65064,652,BMP4
445154,653,BMP5
445154,655,BMP7
2519,657,BMPR1A
65064,657,BMPR1A
445154,659,BMPR2
2519,9790,BMS1
65064,660,BMX
445154,662,BNIP1
445154,663,BNIP2
1548943,663,BNIP2
2519,663,BNIP2
1548943,664,BNIP3
65064,664,BNIP3
2519,664,BNIP3
1548943,665,BNIP3L
2519,665,BNIP3L
445154,91653,BOC
2519,259282,BOD1L1
65064,51027,BOLA1
2519,51027,BOLA1
65064,79866,BORA
2519,79866,BORA
445154,79866,BORA
5350,79866,BORA
65064,669,BPGM
2519,2186,BPTF
2519,8315,BRAP
445154,8315,BRAP
65064,672,BRCA1
445154,672,BRCA1
2519,672,BRCA1
2519,675,BRCA2
445154,675,BRCA2
65064,675,BRCA2
445154,79184,BRCC3
65064,23774,BRD1
2519,23774,BRD1
2519,6046,BRD2
2519,8019,BRD3
445154,8019,BRD3
2519,23476,BRD4
2519,29117,BRD7
2519,10902,BRD8
2519,65980,BRD9
445154,65980,BRD9
2519,2972,BRF1
445154,2972,BRF1
445154,339479,BRINP3
5350,339479,BRINP3
2519,83990,BRIP1
65064,83990,BRIP1
2519,25855,BRMS1
2519,7862,BRPF1
2519,27154,BRPF3
65064,27154,BRPF3
5350,9024,BRSK2
2519,54014,BRWD1
445154,54014,BRWD1
65064,254065,BRWD3
